D0309 17:12:43.991279456   21026 ev_posix.cc:172]            Using polling engine: epollex
I0309 17:12:44.031360207   21026 client_channel.cc:1446]     chand=0x9184a0: resolver returned updated service config: "{}"
I0309 17:12:44.031425499   21026 client_channel.cc:1461]     chand=0x9184a0: using ConfigSelector (nil)
D0309 17:12:44.031495821   21026 transport.h:158]            CLIENT_CHANNEL 0x918420:0x9183a0 REF ClientChannelControlHelper
I0309 17:12:44.031543922   21026 ref_counted.h:115]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 3 -> 4 ClientChannelControlHelper
I0309 17:12:44.031661906   21026 ev_posix.cc:352]            (polling-api) pollset_set_create(0x90c890)
I0309 17:12:44.031729708   21026 client_channel.cc:1409]     chand=0x9184a0: created new LB policy 0x91ecf0
I0309 17:12:44.031773169   21026 ev_posix.cc:377]            (polling-api) pollset_set_add_pollset_set(0x90c890, 0x916390)
I0309 17:12:44.031808460   21026 ev_epollex_linux.cc:1489]   PSS: merge (0x90c890, 0x916390)
I0309 17:12:44.031867232   21026 ev_epollex_linux.cc:1523]   PSS: parent 0x90c890 to 0x916390
I0309 17:12:44.031922313   21026 client_channel.cc:1391]     chand=0x9184a0: Updating child policy 0x91ecf0
I0309 17:12:44.031983675   21026 child_policy_handler.cc:218] [child_policy_handler 0x91ecf0] creating new child policy pick_first
I0309 17:12:44.032028516   21026 ref_counted.h:86]           LoadBalancingPolicy:0x91ecf8 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/lb_policy/child_policy_handler.cc:265 ref 1 -> 2 Helper
I0309 17:12:44.032103928   21026 ev_posix.cc:352]            (polling-api) pollset_set_create(0x91f020)
I0309 17:12:44.032153040   21026 pick_first.cc:142]          Pick First 0x91f190 created.
I0309 17:12:44.032200641   21026 child_policy_handler.cc:279] [child_policy_handler 0x91ecf0] created new LB policy "pick_first" (0x91f190)
I0309 17:12:44.032248563   21026 ev_posix.cc:377]            (polling-api) pollset_set_add_pollset_set(0x91f020, 0x90c890)
I0309 17:12:44.032288784   21026 ev_epollex_linux.cc:1489]   PSS: merge (0x91f020, 0x90c890)
I0309 17:12:44.032333055   21026 ev_epollex_linux.cc:1523]   PSS: parent 0x91f020 to 0x916390
I0309 17:12:44.032387947   21026 child_policy_handler.cc:237] [child_policy_handler 0x91ecf0] updating child policy 0x91f190
I0309 17:12:44.032435788   21026 pick_first.cc:265]          Pick First 0x91f190 received update with 1 addresses
I0309 17:12:44.032512390   21026 subchannel_list.h:366]      [pick_first 0x91f190] Creating subchannel list 0x91f610 for 1 subchannels
I0309 17:12:44.032653234   21026 ref_counted.h:75]           SubchannelPoolInterface:0x916918 ref 2 -> 3
I0309 17:12:44.032772018   21026 ref_counted.h:75]           SubchannelPoolInterface:0x916918 ref 3 -> 4
I0309 17:12:44.032817049   21026 ref_counted.h:86]           security_connector_refcount:0x91f3a8 /public/home/lifei/xinzk/source/grpc/src/core/lib/security/security_connector/security_connector.cc:87 ref 1 -> 2 connector_arg_copy
I0309 17:12:44.032860371   21026 ref_counted.h:182]          security_connector_refcount:0x91f3a8 /public/home/lifei/xinzk/source/grpc/src/core/ext/transport/chttp2/client/chttp2_connector.cc:345 unref 2 -> 1 lb_channel_create
I0309 17:12:44.032968174   21026 ref_counted.h:86]           security_connector_refcount:0x91f3a8 /public/home/lifei/xinzk/source/grpc/src/core/lib/security/security_connector/security_connector.cc:87 ref 1 -> 2 connector_arg_copy
I0309 17:12:44.033011165   21026 ref_counted.h:75]           SubchannelPoolInterface:0x916918 ref 4 -> 5
I0309 17:12:44.033138549   21026 ev_posix.cc:352]            (polling-api) pollset_set_create(0x91f340)
I0309 17:12:44.033226091   21026 ref_counted.h:75]           SubchannelPoolInterface:0x916918 ref 5 -> 6
I0309 17:12:44.033271783   21026 ref_counted.h:86]           security_connector_refcount:0x91f3a8 /public/home/lifei/xinzk/source/grpc/src/core/lib/security/security_connector/security_connector.cc:87 ref 2 -> 3 connector_arg_copy
I0309 17:12:44.033383346   21026 dual_ref_counted.h:261]     Subchannel:0x920180 ref 1 -> 2; (weak_refs=0)
I0309 17:12:44.033482789   21026 ref_counted.h:86]           security_connector_refcount:0x91f3a8 /public/home/lifei/xinzk/source/grpc/src/core/lib/security/security_connector/security_connector.cc:87 ref 3 -> 4 connector_arg_copy
I0309 17:12:44.033525460   21026 ref_counted.h:75]           SubchannelPoolInterface:0x916918 ref 6 -> 7
I0309 17:12:44.033582252   21026 ref_counted.h:75]           SubchannelPoolInterface:0x916918 ref 7 -> 8
I0309 17:12:44.033634153   21026 dual_ref_counted.h:74]      Subchannel:0x920180 unref 2 -> 1, weak_ref 0 -> 1
I0309 17:12:44.033671434   21026 dual_ref_counted.h:176]     Subchannel:0x920180 weak_unref 1 -> 0 (refs=1)
I0309 17:12:44.033711695   21026 ref_counted.h:165]          SubchannelPoolInterface:0x916918 unref 8 -> 7
I0309 17:12:44.033749437   21026 ref_counted.h:182]          security_connector_refcount:0x91f3a8 /public/home/lifei/xinzk/source/grpc/src/core/lib/security/security_connector/security_connector.cc:80 unref 4 -> 3 connector_arg_destroy
I0309 17:12:44.033785918   21026 ref_counted.h:165]          SubchannelPoolInterface:0x916918 unref 7 -> 6
I0309 17:12:44.033842699   21026 client_channel.cc:452]      chand=0x9184a0: creating subchannel wrapper 0x921110 for subchannel 0x920180
D0309 17:12:44.033883070   21026 transport.h:158]            CLIENT_CHANNEL 0x918420:0x9183a0 REF SubchannelWrapper
I0309 17:12:44.033919711   21026 ref_counted.h:115]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 4 -> 5 SubchannelWrapper
I0309 17:12:44.034269072   21026 subchannel_list.h:386]      [pick_first 0x91f190] subchannel list 0x91f610 index 0: Created subchannel 0x921110 for address 12.8.10.78:5000 args={}
I0309 17:12:44.034324243   21026 ref_counted.h:86]           LoadBalancingPolicy:0x91f198 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/lb_policy/pick_first/pick_first.cc:92 ref 1 -> 2 subchannel_list
I0309 17:12:44.034382395   21026 subchannel_list.h:313]      [pick_first 0x91f190] subchannel list 0x91f610 index 0 of 1 (subchannel 0x921110): starting watch (from IDLE)
I0309 17:12:44.034430476   21026 ref_counted.h:86]           SubchannelList:0x91f618 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/lb_policy/subchannel_list.h:322 ref 1 -> 2 Watcher
I0309 17:12:44.034566190   21026 ref_counted.h:86]           SubchannelWrapper:0x921118 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:506 ref 1 -> 2 WatcherWrapper
I0309 17:12:44.034652713   21026 ev_posix.cc:377]            (polling-api) pollset_set_add_pollset_set(0x91f340, 0x91f020)
I0309 17:12:44.034693874   21026 ev_epollex_linux.cc:1489]   PSS: merge (0x91f340, 0x91f020)
I0309 17:12:44.034740235   21026 ev_epollex_linux.cc:1523]   PSS: parent 0x91f340 to 0x916390
I0309 17:12:44.034836808   21026 dual_ref_counted.h:310]     Subchannel:0x920180 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/subchannel.cc:876 weak_ref 0 -> 1 (refs=1) connecting
I0309 17:12:44.034985553   21026 socket_utils_common_posix.cc:429] Disabling AF_INET6 sockets because ::1 is not available.
I0309 17:12:44.035111626   21026 ev_posix.cc:253]            (polling-api) fd_create(9, tcp-client:ipv4:12.8.10.78:5000, 1)
I0309 17:12:44.035158988   21026 ev_posix.cc:254]            (fd-trace) fd_create(9, tcp-client:ipv4:12.8.10.78:5000, 1)
D0309 17:12:44.035307992   21026 ev_epollex_linux.cc:175]    FD 9 0x9216e0 create tcp-client:ipv4:12.8.10.78:5000 fd=9
I0309 17:12:44.035355943   21026 ev_posix.cc:394]            (polling-api) pollset_set_add_fd(0x91f340, 9)
I0309 17:12:44.035401045   21026 ev_epollex_linux.cc:1354]   PSS:0x91f340: add fd 0x9216e0 (9)
I0309 17:12:44.035439856   21026 ev_epollex_linux.cc:617]    add fd 0x9216e0 (9) to pollable 0x910cd0
I0309 17:12:44.035479217   21026 ev_epollex_linux.cc:617]    add fd 0x9216e0 (9) to pollable 0x91dab0
D0309 17:12:44.035518948   21026 ev_epollex_linux.cc:352]    FD 9 0x9216e0   ref 2 1 -> 3 [pollset_set; /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1368]
I0309 17:12:44.035570050   21026 ref_counted.h:75]           SubchannelPoolInterface:0x916918 ref 6 -> 7
I0309 17:12:44.035622311   21026 ref_counted.h:86]           security_connector_refcount:0x91f3a8 /public/home/lifei/xinzk/source/grpc/src/core/lib/security/security_connector/security_connector.cc:87 ref 3 -> 4 connector_arg_copy
I0309 17:12:44.035658672   21026 tcp_client_posix.cc:314]    CLIENT_CONNECT: ipv4:12.8.10.78:5000: asynchronously connecting fd 0x9216e0
I0309 17:12:44.035706734   21026 timer_generic.cc:344]       TIMER 0x921860: SET 21229 now 1229 call 0x9218a0[0x2b7c30393e11]
I0309 17:12:44.035759445   21026 timer_generic.cc:382]         .. add to shard 2 with queue_deadline_cap=2206 => is_first_timer=false
D0309 17:12:44.035804367   21026 lockfree_event.cc:103]      LockfreeEvent::NotifyOn: 0x921728 curr=0 closure=0x9218f0
I0309 17:12:44.035862588   21026 client_channel.cc:1472]     chand=0x9184a0: switching to ConfigSelector (nil)
I0309 17:12:44.035946541   21026 channel_stack.cc:110]       CHANNEL_STACK: init DynamicFilters
I0309 17:12:44.036000682   21026 channel_stack.cc:112]       CHANNEL_STACK:   filter retry_filter
I0309 17:12:44.036076564   21026 connectivity_state.cc:182]  ConnectivityStateTracker client_channel[0x918550]: get current state: CONNECTING
I0309 17:12:44.036121416   21026 client_channel.cc:2204]     chand=0x9184a0 calld=0x91ce10: applying service config to call
I0309 17:12:44.036191638   21026 client_channel.cc:2175]     chand=0x9184a0 calld=0x91ce10: removing from resolver queued picks list
I0309 17:12:44.036231809   21026 ev_posix.cc:371]            (polling-api) pollset_set_del_pollset(0x916390, 0x913420)
I0309 17:12:44.036266080   21026 ev_epollex_linux.cc:1399]   PSS:0x916390: del pollset 0x913420
I0309 17:12:44.036305671   21026 ev_epollex_linux.cc:661]    PS:0x913420 (pollable:0x91dab0) maybe_finish_shutdown sc=(nil) (target:!NULL) rw=(nil) (target:NULL) cpsc=0 (target:0)
I0309 17:12:44.036405924   21026 ref_counted.h:182]          Resolver:0x91dfe8 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/dns_resolver_ares.cc:410 unref 2 -> 1 dns-resolving
I0309 17:12:44.036454095   21026 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x915220
D0309 17:12:44.036496957   21026 exec_ctx.cc:54]             closure 0x91e088 finished
D0309 17:12:44.036534368   21026 exec_ctx.cc:34]             running closure 0x91f858: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/subchannel.cc:371]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/subchannel.cc:362]
I0309 17:12:44.036575269   21026 client_channel.cc:577]      chand=0x9184a0: connectivity change for subchannel wrapper 0x921110 subchannel 0x920180; hopping into work_serializer
I0309 17:12:44.036621140   21026 work_serializer.cc:78]      WorkSerializer::Run() 0x915220 Scheduling callback [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:589]
I0309 17:12:44.036657661   21026 work_serializer.cc:90]        Executing immediately
I0309 17:12:44.036699783   21026 client_channel.cc:612]      chand=0x9184a0: processing connectivity change in work serializer for subchannel wrapper 0x921110 subchannel 0x920180 watcher=0x914ec0
I0309 17:12:44.036765595   21026 subchannel_list.h:246]      [pick_first 0x91f190] subchannel list 0x91f610 index 0 of 1 (subchannel 0x921110): connectivity changed: state=CONNECTING, shutting_down=0, pending_watcher=0x914ec0
I0309 17:12:44.036808346   21026 ref_counted.h:86]           LoadBalancingPolicy:0x91f198 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/lb_policy/pick_first/pick_first.cc:440 ref 2 -> 3 QueuePicker
I0309 17:12:44.036865148   21026 client_channel.cc:941]      chand=0x9184a0: update: state=CONNECTING status=(OK) picker=0x921c10
I0309 17:12:44.036925959   21026 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x915220
D0309 17:12:44.036971721   21026 exec_ctx.cc:54]             closure 0x91f858 finished
D0309 17:12:44.037009292   21026 exec_ctx.cc:34]             running closure 0x91ced8: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:2291]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:2292]
I0309 17:12:44.037048153   21026 client_channel.cc:2403]     chand=0x9184a0 calld=0x91ce10: creating dynamic call stack on channel_stack=0x91efd0
I0309 17:12:44.037235478   21026 retry_filter.cc:2062]       chand=0x921d50 calld=0x91d270: created call
I0309 17:12:44.037285260   21026 client_channel.cc:2103]     chand=0x9184a0 calld=0x91ce10: starting 1 pending batches on dynamic_call=0x91d1d0
I0309 17:12:44.037370812   21026 call_combiner.h:172]        CallCombinerClosureList executing closure while already holding call_combiner 0x91c088: closure=0x91d008 error="OK" reason=resuming pending batch from client channel call
D0309 17:12:44.050458324   21026 exec_ctx.cc:54]             closure 0x91ced8 finished
D0309 17:12:44.050500896   21026 exec_ctx.cc:34]             running closure 0x91d008: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:2114]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/call_combiner.h:180]
I0309 17:12:44.050583688   21026 dynamic_filters.cc:66]      OP[retry_filter:0x91d250]:  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0309 17:12:44.050657490   21026 retry_filter.cc:2157]       chand=0x921d50 calld=0x91d270: batch started from surface:  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0309 17:12:44.050721742   21026 retry_filter.cc:2395]       chand=0x921d50 calld=0x91d270: adding pending batch at index 0
I0309 17:12:44.050925008   21026 retry_filter.cc:2267]       chand=0x921d50 calld=0x91d270: creating call attempt
I0309 17:12:44.051162915   21026 retry_filter.cc:688]        chand=0x921d50 calld=0x91d270 attempt=0x921ed0: create lb_call=0x9229d0
I0309 17:12:44.051227227   21026 retry_filter.cc:1063]       chand=0x921d50 calld=0x91d270 attempt=0x921ed0: constructing retriable batches
I0309 17:12:44.051273318   21026 ref_counted.h:86]           CallAttempt:0x921ed8 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/retry_filter.cc:360 ref 1 -> 2 CreateBatch
I0309 17:12:44.051323710   21026 retry_filter.cc:1298]       chand=0x921d50 calld=0x91d270 attempt=0x921ed0: creating batch 0x91f870
D0309 17:12:44.051361481   21026 transport.h:158]            CALL_STACK 0x91d1e0:0x91d1d0 REF Retry BatchData
I0309 17:12:44.051406142   21026 ref_counted.h:115]          stream_refcount:0x91d1e0 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 1 -> 2 Retry BatchData
I0309 17:12:44.052442172   21026 retry_filter.cc:1974]       chand=0x921d50 calld=0x91d270 attempt=0x921ed0: starting calld->send_messages[0]
I0309 17:12:44.052615987   21026 retry_filter.cc:865]        chand=0x921d50 calld=0x91d270 attempt=0x921ed0: adding batch (start replayable pending batch on call attempt):  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0309 17:12:44.052671859   21026 retry_filter.cc:1073]       chand=0x921d50 calld=0x91d270 attempt=0x921ed0: starting 1 retriable batches on lb_call=0x9229d0
I0309 17:12:44.052725911   21026 call_combiner.h:172]        CallCombinerClosureList executing closure while already holding call_combiner 0x91c088: closure=0x91f8b0 error="OK" reason=start replayable pending batch on call attempt
D0309 17:12:44.052766442   21026 exec_ctx.cc:54]             closure 0x91d008 finished
D0309 17:12:44.052804483   21026 exec_ctx.cc:34]             running closure 0x91f8b0: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/retry_filter.cc:871]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/call_combiner.h:180]
I0309 17:12:44.052855454   21026 client_channel.cc:2624]     chand=0x9184a0 lb_call=0x9229d0: adding pending batch at index 0
I0309 17:12:44.052892665   21026 client_channel.cc:2831]     chand=0x9184a0 lb_call=0x9229d0: grabbing data plane mutex to perform pick
I0309 17:12:44.052964288   21026 ref_counted.h:75]           LoadBalancingPolicy:0x91f198 ref 3 -> 4
I0309 17:12:44.053034740   21026 client_channel.cc:3130]     chand=0x9184a0 lb_call=0x9229d0: LB pick queued
I0309 17:12:44.053074871   21026 client_channel.cc:3023]     chand=0x9184a0 lb_call=0x9229d0: adding to queued picks list
I0309 17:12:44.053113722   21026 ev_posix.cc:364]            (polling-api) pollset_set_add_pollset(0x916390, 0x913420)
I0309 17:12:44.053148723   21026 ev_epollex_linux.cc:1452]   PSS:0x916390: add pollset 0x913420
I0309 17:12:44.053193564   21026 ref_counted.h:86]           pollable_refcount:0x91dab8 /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1242 ref 1 -> 2 pollset_as_multipollable
I0309 17:12:44.053234455   21026 ref_counted.h:86]           pollable_refcount:0x91dab8 /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1281 ref 2 -> 3 pollset_set
I0309 17:12:44.053271277   21026 ref_counted.h:182]          pollable_refcount:0x91dab8 /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1282 unref 3 -> 2 pollset_as_multipollable
I0309 17:12:44.053314558   21026 ev_epollex_linux.cc:617]    add fd 0x9216e0 (9) to pollable 0x91dab0
I0309 17:12:44.053356899   21026 ref_counted.h:182]          pollable_refcount:0x91dab8 /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1480 unref 2 -> 1 pollset_set
I0309 17:12:44.053410521   21026 ref_counted.h:75]           LoadBalancedCall:0x9229d8 ref 1 -> 2
D0309 17:12:44.053459002   21026 transport.h:158]            CALL_STACK 0x91d1e0:0x91d1d0 REF LbQueuedCallCanceller
I0309 17:12:44.053496363   21026 ref_counted.h:115]          stream_refcount:0x91d1e0 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 2 -> 3 LbQueuedCallCanceller
I0309 17:12:44.053532404   21026 call_combiner.cc:233]       call_combiner=0x91c088: setting notify_on_cancel=0x921338
I0309 17:12:44.053567125   21026 call_combiner.cc:242]       call_combiner=0x91c088: scheduling old cancel callback=0x90b3f8
D0309 17:12:44.053641217   21026 exec_ctx.cc:54]             closure 0x91f8b0 finished
D0309 17:12:44.053682329   21026 exec_ctx.cc:34]             running closure 0x91ef30: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/lb_policy.cc:126]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/lb_policy.cc:115]
I0309 17:12:44.053721850   21026 work_serializer.cc:78]      WorkSerializer::Run() 0x915220 Scheduling callback [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/lb_policy.cc:126]
I0309 17:12:44.053759561   21026 work_serializer.cc:90]        Executing immediately
I0309 17:12:44.053796962   21026 ref_counted.h:165]          LoadBalancingPolicy:0x91f198 unref 4 -> 3
I0309 17:12:44.053831993   21026 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x915220
D0309 17:12:44.053867514   21026 exec_ctx.cc:54]             closure 0x91ef30 finished
D0309 17:12:44.053903475   21026 exec_ctx.cc:34]             running closure 0x90b3f8: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:2136]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/call_combiner.cc:246]
I0309 17:12:44.053942876   21026 client_channel.cc:2148]     chand=0x9184a0 calld=0x91ce10: cancelling resolver queued pick: error="OK" self=0x90b3f0 calld->resolver_pick_canceller=(nil)
D0309 17:12:44.053982467   21026 transport.h:175]            CALL_STACK 0x91cd80:0x91c070 UNREF ResolvingQueuedCallCanceller
I0309 17:12:44.054019768   21026 ref_counted.h:182]          stream_refcount:0x91cd80 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:178 unref 3 -> 2 ResolvingQueuedCallCanceller
D0309 17:12:44.054054669   21026 exec_ctx.cc:54]             closure 0x90b3f8 finished
I0309 17:12:44.054110921   21026 completion_queue.cc:1218]   grpc_completion_queue_pluck(cq=0x9132a0, tag=0x7ffd689b8890, deadline=gpr_timespec { tv_sec: 9223372036854775807, tv_nsec: 0, clock_type: 1 }, reserved=(nil))
D0309 17:12:44.054180523   21026 completion_queue.cc:948]    PENDING TAGS: 0x7ffd689b8890
I0309 17:12:44.054232465   21026 ev_posix.cc:321]            (polling-api) pollset_work(0x913420, 9223372036854775807) begin
I0309 17:12:44.054281936   21026 ev_epollex_linux.cc:1118]   PS:0x913420 work hdl=0x7ffd689b8688 worker=0x7ffd689b84e0 now=1253 deadline=9223372036854775807 kwp=0 pollable=0x91dab0
I0309 17:12:44.054320107   21026 ref_counted.h:86]           pollable_refcount:0x91dab8 /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1016 ref 1 -> 2 pollset_worker
I0309 17:12:44.054387139   21026 ev_epollex_linux.cc:936]    POLLABLE:0x91dab0[type=pollset epfd=7 wakeup=8] poll for -1ms
I0309 17:12:44.054436811   21026 ev_epollex_linux.cc:955]    POLLABLE:0x91dab0 got 1 events
I0309 17:12:44.054474932   21026 ev_epollex_linux.cc:903]    PS:0x913420 got fd 0x9216e0: cancel=1 read=1 write=1
D0309 17:12:44.054512313   21026 lockfree_event.cc:236]      LockfreeEvent::SetReady: 0x921720 curr=0
D0309 17:12:44.054547714   21026 lockfree_event.cc:236]      LockfreeEvent::SetReady: 0x921728 curr=9218f0
D0309 17:12:44.054585365   21026 exec_ctx.cc:34]             running closure 0x9218f0: created [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/tcp_client_posix.cc:310]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/lockfree_event.cc:265]
I0309 17:12:44.054622526   21026 tcp_client_posix.cc:144]    CLIENT_CONNECT: ipv4:12.8.10.78:5000: on_writable: error="OK"
I0309 17:12:44.054663007   21026 timer_generic.cc:447]       TIMER 0x921860: CANCEL pending=true
D0309 17:12:44.054739979   21026 error.cc:508]               0x9233c0 create [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/tcp_client_posix.cc:201]
I0309 17:12:44.054790011   21026 ev_posix.cc:400]            (polling-api) pollset_set_del_fd(0x91f340, 9)
I0309 17:12:44.054833192   21026 ev_epollex_linux.cc:1378]   PSS:0x91f340: del fd 0x9216e0
D0309 17:12:44.054873983   21026 ev_epollex_linux.cc:389]    FD 9 0x9216e0 unref 2 3 -> 1 [pollset_set; /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1384]
I0309 17:12:44.054914415   21026 ev_posix.cc:266]            (polling-api) fd_orphan(9, (nil), (nil), tcp_client_orphan)
I0309 17:12:44.054949856   21026 ev_posix.cc:267]            (fd-trace) grpc_fd_orphan, fd:9 closed
D0309 17:12:44.055002757   21026 ev_epollex_linux.cc:352]    FD 9 0x9216e0   ref 1 1 -> 2 [tcp_client_orphan; /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:492]
D0309 17:12:44.055048348   21026 ev_epollex_linux.cc:389]    FD 9 0x9216e0 unref 2 2 -> 0 [tcp_client_orphan; /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:503]
I0309 17:12:44.055102790   21026 executor.cc:300]            EXECUTOR (default-executor) try to schedule 0x91fda0 (short) (created /public/home/lifei/xinzk/source/grpc/src/core/ext/transport/chttp2/client/chttp2_connector.cc:63) to thread 0
I0309 17:12:44.055203513   21028 executor.cc:251]            EXECUTOR (default-executor) [0]: execute
I0309 17:12:44.055251484   21028 executor.cc:119]            EXECUTOR (default-executor) run 0x91fda0 [created by /public/home/lifei/xinzk/source/grpc/src/core/ext/transport/chttp2/client/chttp2_connector.cc:63]
D0309 17:12:44.055331677   21028 error.cc:304]               0x9233c0: 1 -> 2 [/public/home/lifei/xinzk/source/grpc/src/core/ext/transport/chttp2/client/chttp2_connector.cc:125]
D0309 17:12:44.055387828   21028 error.cc:352]               0x9233c0: 2 -> 1 [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/executor.cc:134]
D0309 17:12:44.055432740   21028 exec_ctx.cc:34]             running closure 0x9202f0: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/subchannel.cc:651]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/ext/transport/chttp2/client/chttp2_connector.cc:133]
I0309 17:12:44.055551503   21028 subchannel.cc:947]          subchannel 0x920180 {address=ipv4:12.8.10.78:5000, args=grpc.client_channel_factory=0x916bd0, grpc.default_authority=12.8.10.78:5000, grpc.internal.channel_credentials=0x9152b0, grpc.internal.security_connector=0x91f3a0, grpc.internal.subchannel_pool=0x916910, grpc.primary_user_agent=grpc-c++/1.45.0, grpc.resource_quota=0x9146d0, grpc.server_uri=dns:///12.8.10.78:5000}: connect failed: {"created":"@1678353164.054780601","description":"Failed to connect to remote host: Connection refused","errno":111,"file":"/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/tcp_client_posix.cc","file_line":201,"os_error":"Connection refused","syscall":"connect","target_address":"ipv4:12.8.10.78:5000"}
I0309 17:12:44.055645726   21028 dual_ref_counted.h:198]     Subchannel:0x920180 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/subchannel.cc:954 weak_unref 1 -> 0 (refs=1) connecting
D0309 17:12:44.055692597   21028 error.cc:352]               0x9233c0: 1 -> 0 [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/exec_ctx.cc:50]
D0309 17:12:44.055738619   21028 exec_ctx.cc:54]             closure 0x9202f0 finished
D0309 17:12:44.055776760   21028 exec_ctx.cc:34]             running closure 0x2b7c400009a8: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/subchannel.cc:371]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/subchannel.cc:362]
I0309 17:12:44.055813411   21028 client_channel.cc:577]      chand=0x9184a0: connectivity change for subchannel wrapper 0x921110 subchannel 0x920180; hopping into work_serializer
I0309 17:12:44.055853452   21028 work_serializer.cc:78]      WorkSerializer::Run() 0x915220 Scheduling callback [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:589]
I0309 17:12:44.055891813   21028 work_serializer.cc:90]        Executing immediately
I0309 17:12:44.055929144   21028 client_channel.cc:612]      chand=0x9184a0: processing connectivity change in work serializer for subchannel wrapper 0x921110 subchannel 0x920180 watcher=0x914ec0
