D0308 11:23:00.336059408   20911 ev_posix.cc:172]            Using polling engine: epollex
D0308 11:23:00.395640727   20911 exec_ctx.cc:34]             running closure 0x1c713e0: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/retry_filter.cc:871]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/call_combiner.h:180]
I0308 11:23:00.395690809   20911 client_channel.cc:2624]     chand=0x1c62130 lb_call=0x1c734a0: adding pending batch at index 0
I0308 11:23:00.395727990   20911 client_channel.cc:2831]     chand=0x1c62130 lb_call=0x1c734a0: grabbing data plane mutex to perform pick
I0308 11:23:00.395779281   20911 ref_counted.h:75]           LoadBalancingPolicy:0x1c6b608 ref 3 -> 4
I0308 11:23:00.395847223   20911 client_channel.cc:3130]     chand=0x1c62130 lb_call=0x1c734a0: LB pick queued
I0308 11:23:00.395887614   20911 client_channel.cc:3023]     chand=0x1c62130 lb_call=0x1c734a0: adding to queued picks list
I0308 11:23:00.395924996   20911 ev_posix.cc:364]            (polling-api) pollset_set_add_pollset(0x1c646a0, 0x1c5f8c0)
I0308 11:23:00.395959407   20911 ev_epollex_linux.cc:1451]   PSS:0x1c646a0: add pollset 0x1c5f8c0
I0308 11:23:00.396008598   20911 ev_epollex_linux.cc:616]    add fd 0x1c6bcf0 (9) to pollable 0x1c69f50
I0308 11:23:00.396055789   20911 ref_counted.h:75]           LoadBalancedCall:0x1c734a8 ref 1 -> 2
D0308 11:23:00.396101881   20911 transport.h:158]            CALL_STACK 0x1c696a0:0x1c69690 REF LbQueuedCallCanceller
I0308 11:23:00.396137662   20911 ref_counted.h:115]          stream_refcount:0x1c696a0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 2 -> 3 LbQueuedCallCanceller
I0308 11:23:00.396172313   20911 call_combiner.cc:233]       call_combiner=0x1c68548: setting notify_on_cancel=0x1c717e8
I0308 11:23:00.396206184   20911 call_combiner.cc:242]       call_combiner=0x1c68548: scheduling old cancel callback=0x1c57f18
D0308 11:23:00.396276246   20911 exec_ctx.cc:54]             closure 0x1c713e0 finished
D0308 11:23:00.396316567   20911 exec_ctx.cc:34]             running closure 0x1c6d8c0: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/lb_policy.cc:126]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/lb_policy.cc:115]
I0308 11:23:00.396355048   20911 work_serializer.cc:78]      WorkSerializer::Run() 0x1c62760 Scheduling callback [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/lb_policy.cc:126]
I0308 11:23:00.396403090   20911 work_serializer.cc:90]        Executing immediately
I0308 11:23:00.396441131   20911 ref_counted.h:165]          LoadBalancingPolicy:0x1c6b608 unref 4 -> 3
I0308 11:23:00.396474632   20911 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x1c62760
D0308 11:23:00.396508203   20911 exec_ctx.cc:54]             closure 0x1c6d8c0 finished
D0308 11:23:00.396542574   20911 exec_ctx.cc:34]             running closure 0x1c57f18: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:2136]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/call_combiner.cc:246]
I0308 11:23:00.396581325   20911 client_channel.cc:2148]     chand=0x1c62130 calld=0x1c692d0: cancelling resolver queued pick: error="OK" self=0x1c57f10 calld->resolver_pick_canceller=(nil)
D0308 11:23:00.396620266   20911 transport.h:175]            CALL_STACK 0x1c69240:0x1c68530 UNREF ResolvingQueuedCallCanceller
D0308 11:23:00.396655167   20911 exec_ctx.cc:54]             closure 0x1c57f18 finished
I0308 11:23:00.396705718   20911 completion_queue.cc:1218]   grpc_completion_queue_pluck(cq=0x1c5f740, tag=0x7fffb1616e90, deadline=gpr_timespec { tv_sec: 9223372036854775807, tv_nsec: 0, clock_type: 1 }, reserved=(nil))
D0308 11:23:00.396760130   20911 completion_queue.cc:948]    PENDING TAGS: 0x7fffb1616e90
I0308 11:23:00.396808821   20911 ev_posix.cc:321]            (polling-api) pollset_work(0x1c5f8c0, 9223372036854775807) begin
I0308 11:23:00.396854933   20911 ev_epollex_linux.cc:1117]   PS:0x1c5f8c0 work hdl=0x7fffb1616c88 worker=0x7fffb1616ae0 now=1596 deadline=9223372036854775807 kwp=0 pollable=0x1c69f50
I0308 11:23:00.396907324   20911 ev_epollex_linux.cc:935]    POLLABLE:0x1c69f50[type=pollset epfd=7 wakeup=8] poll for -1ms
I0308 11:23:00.396953216   20911 ev_epollex_linux.cc:954]    POLLABLE:0x1c69f50 got 1 events
I0308 11:23:00.396989767   20911 ev_epollex_linux.cc:902]    PS:0x1c5f8c0 got fd 0x1c6bcf0: cancel=0 read=1 write=0
D0308 11:23:00.397025128   20911 lockfree_event.cc:236]      LockfreeEvent::SetReady: 0x1c6bd30 curr=1c710e8
D0308 11:23:00.397066509   20911 exec_ctx.cc:34]             running closure 0x1c710e8: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/ib_client_posix.cc:486]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/lockfree_event.cc:265]
I0308 11:23:00.397112440   20911 ib_client_posix.cc:286]     client_on_event error begin "OK"
I0308 11:23:00.412334345   20911 ib_client_posix.cc:318]     Client: on_event RDMA_CM_EVENT_ADDR_RESOLVED
I0308 11:23:00.413618172   20911 ib_client_posix.cc:173]     The actual size is(128,128)
I0308 11:23:00.415468146   20911 ib_client_posix.cc:327]     client_on_event case RDMA_CM_EVENT_ADDR_RESOLVED "OK"
D0308 11:23:00.415529438   20911 lockfree_event.cc:103]      LockfreeEvent::NotifyOn: 0x1c6bd30 curr=0 closure=0x1c710e8
I0308 11:23:00.415601100   20911 ib_client_posix.cc:384]     client_on_event end switch "OK"
D0308 11:23:00.415636661   20911 exec_ctx.cc:54]             closure 0x1c710e8 finished
I0308 11:23:00.415680132   20911 ev_epollex_linux.cc:660]    PS:0x1c5f8c0 (pollable:0x1c69f50) maybe_finish_shutdown sc=(nil) (target:!NULL) rw=(nil) (target:NULL) cpsc=1 (target:0)
I0308 11:23:00.415718864   20911 ev_posix.cc:325]            (polling-api) pollset_work(0x1c5f8c0, 9223372036854775807) end
I0308 11:23:00.415757895   20911 ev_posix.cc:321]            (polling-api) pollset_work(0x1c5f8c0, 9223372036854775807) begin
I0308 11:23:00.415794046   20911 ev_epollex_linux.cc:1117]   PS:0x1c5f8c0 work hdl=0x7fffb1616c88 worker=0x7fffb1616ae0 now=1615 deadline=9223372036854775807 kwp=0 pollable=0x1c69f50
I0308 11:23:00.415835717   20911 ev_epollex_linux.cc:935]    POLLABLE:0x1c69f50[type=pollset epfd=7 wakeup=8] poll for -1ms
I0308 11:23:00.415887108   20911 ev_epollex_linux.cc:954]    POLLABLE:0x1c69f50 got 1 events
I0308 11:23:00.415921109   20911 ev_epollex_linux.cc:902]    PS:0x1c5f8c0 got fd 0x1c6bcf0: cancel=0 read=1 write=0
D0308 11:23:00.415953760   20911 lockfree_event.cc:236]      LockfreeEvent::SetReady: 0x1c6bd30 curr=1c710e8
D0308 11:23:00.415989051   20911 exec_ctx.cc:34]             running closure 0x1c710e8: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/ib_client_posix.cc:486]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/lockfree_event.cc:265]
I0308 11:23:00.416024402   20911 ib_client_posix.cc:286]     client_on_event error begin "OK"
I0308 11:23:00.416088794   20911 ib_client_posix.cc:332]     Client: on_event RDMA_CM_EVENT_ROUTE_RESOLVED
I0308 11:23:00.416124455   20911 ib_client_posix.cc:333]     Client: on_event RDMA_CM_EVENT_ROUTE_RESOLVED
D0308 11:23:00.416177467   20911 lockfree_event.cc:103]      LockfreeEvent::NotifyOn: 0x1c6bd30 curr=0 closure=0x1c710e8
I0308 11:23:00.416236509   20911 ib_client_posix.cc:384]     client_on_event end switch "OK"
D0308 11:23:00.416271010   20911 exec_ctx.cc:54]             closure 0x1c710e8 finished
I0308 11:23:00.416308821   20911 ev_epollex_linux.cc:660]    PS:0x1c5f8c0 (pollable:0x1c69f50) maybe_finish_shutdown sc=(nil) (target:!NULL) rw=(nil) (target:NULL) cpsc=1 (target:0)
I0308 11:23:00.416345782   20911 ev_posix.cc:325]            (polling-api) pollset_work(0x1c5f8c0, 9223372036854775807) end
I0308 11:23:00.416389593   20911 ev_posix.cc:321]            (polling-api) pollset_work(0x1c5f8c0, 9223372036854775807) begin
I0308 11:23:00.416428344   20911 ev_epollex_linux.cc:1117]   PS:0x1c5f8c0 work hdl=0x7fffb1616c88 worker=0x7fffb1616ae0 now=1616 deadline=9223372036854775807 kwp=0 pollable=0x1c69f50
I0308 11:23:00.416474296   20911 ev_epollex_linux.cc:935]    POLLABLE:0x1c69f50[type=pollset epfd=7 wakeup=8] poll for -1ms
I0308 11:23:00.419584746   20911 ev_epollex_linux.cc:954]    POLLABLE:0x1c69f50 got 1 events
I0308 11:23:00.419633518   20911 ev_epollex_linux.cc:902]    PS:0x1c5f8c0 got fd 0x1c6bcf0: cancel=0 read=1 write=0
D0308 11:23:00.419667409   20911 lockfree_event.cc:236]      LockfreeEvent::SetReady: 0x1c6bd30 curr=1c710e8
D0308 11:23:00.419701150   20911 exec_ctx.cc:34]             running closure 0x1c710e8: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/ib_client_posix.cc:486]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/lockfree_event.cc:265]
I0308 11:23:00.419736821   20911 ib_client_posix.cc:286]     client_on_event error begin "OK"
I0308 11:23:00.420082431   20911 ib_client_posix.cc:343]     Client: on_event RDMA_CM_EVENT_ESTABLISHED
I0308 11:23:00.420167753   20911 ev_posix.cc:253]            (polling-api) fd_create(12, rdma-client:ipv4:12.8.10.78:5000, 1)
I0308 11:23:00.420205325   20911 ev_posix.cc:254]            (fd-trace) fd_create(12, rdma-client:ipv4:12.8.10.78:5000, 1)
D0308 11:23:00.420252616   20911 ev_epollex_linux.cc:175]    FD 12 0x1c7aeb0 create rdma-client:ipv4:12.8.10.78:5000 fd=12
I0308 11:23:00.420290537   20911 ev_posix.cc:253]            (polling-api) fd_create(13, rdma-client:ipv4:12.8.10.78:5000, 1)
I0308 11:23:00.420328958   20911 ev_posix.cc:254]            (fd-trace) fd_create(13, rdma-client:ipv4:12.8.10.78:5000, 1)
D0308 11:23:00.420368299   20911 ev_epollex_linux.cc:175]    FD 13 0x1ea5580 create rdma-client:ipv4:12.8.10.78:5000 fd=13
I0308 11:23:00.420434251   20911 rdma_cm.cc:650]             CREATE:RDMA_CM_ID=0x1c6ed60
I0308 11:23:00.420475512   20911 rdma_cm.cc:677]             CREATE:RDMA_CM_ID=0x1c6ed60
D0308 11:23:00.420510133   20911 lockfree_event.cc:103]      LockfreeEvent::NotifyOn: 0x1c6bd30 curr=0 closure=0x1c710e8
I0308 11:23:00.420567225   20911 ib_client_posix.cc:384]     client_on_event end switch "OK"
D0308 11:23:00.420602076   20911 exec_ctx.cc:54]             closure 0x1c710e8 finished
D0308 11:23:00.420635567   20911 exec_ctx.cc:34]             running closure 0x1c6c0f0: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/transport/chttp2/client/chttp2_connector.cc:67]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/ib_client_posix.cc:362]
I0308 11:23:00.420773601   20911 handshaker.cc:63]           handshake_manager 0x1ea5b20: adding handshaker http_connect [0x1ea5cc0] at index 0
I0308 11:23:00.420876454   20911 handshaker.cc:63]           handshake_manager 0x1ea5b20: adding handshaker security [0x1ea6f20] at index 1
I0308 11:23:00.420934766   20911 ev_posix.cc:394]            (polling-api) pollset_set_add_fd(0x1c6b820, 13)
I0308 11:23:00.420973557   20911 ev_epollex_linux.cc:1353]   PSS:0x1c6b820: add fd 0x1ea5580 (13)
I0308 11:23:00.421016348   20911 ev_epollex_linux.cc:616]    add fd 0x1ea5580 (13) to pollable 0x1c5d170
I0308 11:23:00.421056409   20911 ev_epollex_linux.cc:616]    add fd 0x1ea5580 (13) to pollable 0x1c69f50
D0308 11:23:00.421092560   20911 ev_epollex_linux.cc:352]    FD 13 0x1ea5580   ref 2 1 -> 3 [pollset_set; /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/ev_epollex_linux.cc:1367]
I0308 11:23:00.421128542   20911 ev_posix.cc:394]            (polling-api) pollset_set_add_fd(0x1c6b820, 12)
I0308 11:23:00.421162573   20911 ev_epollex_linux.cc:1353]   PSS:0x1c6b820: add fd 0x1c7aeb0 (12)
I0308 11:23:00.421197884   20911 ev_epollex_linux.cc:616]    add fd 0x1c7aeb0 (12) to pollable 0x1c5d170
I0308 11:23:00.421237525   20911 ev_epollex_linux.cc:616]    add fd 0x1c7aeb0 (12) to pollable 0x1c69f50
D0308 11:23:00.421273016   20911 ev_epollex_linux.cc:352]    FD 12 0x1c7aeb0   ref 2 1 -> 3 [pollset_set; /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/ev_epollex_linux.cc:1367]
I0308 11:23:00.421318777   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 7 -> 8
I0308 11:23:00.421364888   20911 timer_generic.cc:344]       TIMER 0x1ea5bb8: SET 21571 now 1620 call 0x1ea5bf8[0x2b7856866932]
I0308 11:23:00.421422660   20911 timer_generic.cc:382]         .. add to shard 31 with queue_deadline_cap=2575 => is_first_timer=false
I0308 11:23:00.421585905   20911 handshaker.cc:90]           handshake_manager 0x1ea5b20: error="OK" shutdown=0 index=0, args={endpoint=0x1ea5680, args=0x1c82fe0 {size=8: grpc.primary_user_agent=grpc-c++/1.45.0, grpc.resource_quota=0x1c586e0, grpc.client_channel_factory=0x1c59400, grpc.internal.channel_credentials=0x1c64b50, grpc.server_uri=dns:///12.8.10.78:5000, grpc.internal.subchannel_pool=0x1c62360, grpc.default_authority=12.8.10.78:5000, grpc.internal.security_connector=0x1c6b880}, read_buffer=0x1ea72c0 (length=0), exit_early=0}
I0308 11:23:00.421632446   20911 handshaker.cc:137]          handshake_manager 0x1ea5b20: calling handshaker http_connect [0x1ea5cc0] at index 0
D0308 11:23:00.421681118   20911 exec_ctx.cc:54]             closure 0x1c6c0f0 finished
D0308 11:23:00.421721229   20911 exec_ctx.cc:34]             running closure 0x1ea5b68: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/channel/handshaker.cc:198]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/http_connect_handshaker.cc:298]
I0308 11:23:00.421792981   20911 handshaker.cc:90]           handshake_manager 0x1ea5b20: error="OK" shutdown=0 index=1, args={endpoint=0x1ea5680, args=0x1c82fe0 {size=8: grpc.primary_user_agent=grpc-c++/1.45.0, grpc.resource_quota=0x1c586e0, grpc.client_channel_factory=0x1c59400, grpc.internal.channel_credentials=0x1c64b50, grpc.server_uri=dns:///12.8.10.78:5000, grpc.internal.subchannel_pool=0x1c62360, grpc.default_authority=12.8.10.78:5000, grpc.internal.security_connector=0x1c6b880}, read_buffer=0x1ea72c0 (length=0), exit_early=0}
I0308 11:23:00.421839422   20911 handshaker.cc:137]          handshake_manager 0x1ea5b20: calling handshaker security [0x1ea6f20] at index 1
I0308 11:23:00.421929165   20911 security_context.cc:270]    grpc_auth_context_add_cstring_property(ctx=0x1ea7540, name=transport_security_type, value=insecure)
I0308 11:23:00.421985107   20911 security_context.cc:252]    grpc_auth_context_add_property(ctx=0x1ea7540, name=security_level, value=TSI_SECURITY_NONE, value_length=17)
D0308 11:23:00.422031128   20911 exec_ctx.cc:54]             closure 0x1ea5b68 finished
D0308 11:23:00.422068619   20911 exec_ctx.cc:34]             running closure 0x1ea7140: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/security/transport/security_handshaker.cc:126]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/security/security_connector/insecure/insecure_security_connector.cc:75]
I0308 11:23:00.422125441   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 8 -> 9
I0308 11:23:00.422171042   20911 ref_counted.h:165]          SubchannelPoolInterface:0x1c62368 unref 9 -> 8
D0308 11:23:00.422211873   20911 exec_ctx.cc:54]             closure 0x1ea7140 finished
D0308 11:23:00.422248474   20911 exec_ctx.cc:34]             running closure 0x1ea5b68: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/channel/handshaker.cc:198]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/security/transport/security_handshaker.cc:330]
I0308 11:23:00.422322966   20911 handshaker.cc:90]           handshake_manager 0x1ea5b20: error="OK" shutdown=0 index=2, args={endpoint=0x1ea5680, args=0x1c7cfe0 {size=9: grpc.primary_user_agent=grpc-c++/1.45.0, grpc.resource_quota=0x1c586e0, grpc.client_channel_factory=0x1c59400, grpc.internal.channel_credentials=0x1c64b50, grpc.server_uri=dns:///12.8.10.78:5000, grpc.internal.subchannel_pool=0x1c62360, grpc.default_authority=12.8.10.78:5000, grpc.internal.security_connector=0x1c6b880, grpc.auth_context=0x1ea7540}, read_buffer=0x1ea72c0 (length=0), exit_early=0}
I0308 11:23:00.422364418   20911 handshaker.cc:123]          handshake_manager 0x1ea5b20: handshaking complete -- scheduling on_handshake_done with error="OK"
I0308 11:23:00.422413049   20911 timer_generic.cc:447]       TIMER 0x1ea5bb8: CANCEL pending=true
D0308 11:23:00.422454600   20911 exec_ctx.cc:54]             closure 0x1ea5b68 finished
D0308 11:23:00.422493011   20911 exec_ctx.cc:34]             running closure 0x1ea5bf8: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/channel/handshaker.cc:204]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/timer_generic.cc:454]
D0308 11:23:00.422527542   20911 exec_ctx.cc:54]             closure 0x1ea5bf8 finished
D0308 11:23:00.422561803   20911 exec_ctx.cc:34]             running closure 0x1ea5c40: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/channel/handshaker.cc:200]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/channel/handshaker.cc:131]
I0308 11:23:00.422691317   20911 combiner.cc:60]             C:0x1ea71b0 create
I0308 11:23:00.423625574   20911 chttp2_transport.cc:795]    W:0x1ea7870 CLIENT [ipv4:12.8.10.78:5000] state IDLE -> WRITING [TRANSPORT_FLOW_CONTROL]
I0308 11:23:00.423682136   20911 combiner.cc:319]            C:0x1ea71b0 grpc_combiner_execute_finally c=0x1ea7988; ac=(nil)
I0308 11:23:00.423720067   20911 combiner.cc:132]            C:0x1ea71b0 grpc_combiner_execute c=0x1eab870 last=1
I0308 11:23:00.423761548   20911 chttp2_transport.cc:795]    W:0x1ea7870 CLIENT [ipv4:12.8.10.78:5000] state WRITING -> WRITING+MORE [INITIAL_WRITE]
I0308 11:23:00.423830650   20911 combiner.cc:132]            C:0x1ea71b0 grpc_combiner_execute c=0x1ea7a60 last=3
I0308 11:23:00.423873572   20911 timer_generic.cc:344]       TIMER 0x1c6c180: SET 21571 now 1620 call 0x1c6c1c0[0x2b7856748ca6]
I0308 11:23:00.423920293   20911 timer_generic.cc:382]         .. add to shard 3 with queue_deadline_cap=2575 => is_first_timer=false
D0308 11:23:00.423996575   20911 exec_ctx.cc:54]             closure 0x1ea5c40 finished
I0308 11:23:00.424039326   20911 combiner.cc:198]            C:0x1ea71b0 grpc_combiner_continue_exec_ctx contended=0 exec_ctx_ready_to_finish=0 time_to_execute_final_list=0
I0308 11:23:00.424075898   20911 combiner.cc:220]            C:0x1ea71b0 maybe_finish_one n=0x1eab870
I0308 11:23:00.424110479   20911 combiner.cc:319]            C:0x1ea71b0 grpc_combiner_execute_finally c=0x1ea7988; ac=0x1ea71b0
I0308 11:23:00.424146310   20911 combiner.cc:276]            C:0x1ea71b0 finish old_state=7
I0308 11:23:00.424181451   20911 combiner.cc:198]            C:0x1ea71b0 grpc_combiner_continue_exec_ctx contended=0 exec_ctx_ready_to_finish=0 time_to_execute_final_list=0
I0308 11:23:00.424214852   20911 combiner.cc:220]            C:0x1ea71b0 maybe_finish_one n=0x1ea7a60
I0308 11:23:00.424260413   20911 rdma_cm.cc:347]             RDMA_READ CALLED
D0308 11:23:00.424307524   20911 lockfree_event.cc:103]      LockfreeEvent::NotifyOn: 0x1ea55c0 curr=0 closure=0x1ea5828
I0308 11:23:00.424347665   20911 combiner.cc:276]            C:0x1ea71b0 finish old_state=5
I0308 11:23:00.424393767   20911 combiner.cc:198]            C:0x1ea71b0 grpc_combiner_continue_exec_ctx contended=0 exec_ctx_ready_to_finish=0 time_to_execute_final_list=1
I0308 11:23:00.424430368   20911 combiner.cc:250]            C:0x1ea71b0 execute_final[0] c=0x1ea7988
D0308 11:23:00.424539891   20911 flow_control.cc:117]        0x1ea9ae0[0][cli] | t updt sent | trw:                         65535, tlw:                       4194303, taw:              65535 -> 4194303, srw:                              , slw:                              , saw:                              
I0308 11:23:00.424595393   20911 chttp2_transport.cc:795]    W:0x1ea7870 CLIENT [ipv4:12.8.10.78:5000] state WRITING+MORE -> WRITING [begin write in current thread]
I0308 11:23:00.424632404   20911 rdma_cm.cc:524]             RDMA_WRITE_CALLED
I0308 11:23:00.424680645   20911 rdma_cm.cc:534]             WRITE 0x1ea5680 (peer=ipv4:12.8.10.78:5000): 50 52 49 20 2a 20 48 54 54 50 2f 32 2e 30 0d 0a 0d 0a 53 4d 0d 0a 0d 0a 'PRI * HTTP/2.0....SM....'
I0308 11:23:00.424720056   20911 rdma_cm.cc:534]             WRITE 0x1ea5680 (peer=ipv4:12.8.10.78:5000): 00 00 24 04 00 00 00 00 00 00 02 00 00 00 00 00 03 00 00 00 00 00 04 00 3f ff ff 00 05 00 3f ff ff 00 06 00 00 20 00 fe 03 00 00 00 01 '..$.....................?.....?...... .......'
I0308 11:23:00.424754427   20911 rdma_cm.cc:534]             WRITE 0x1ea5680 (peer=ipv4:12.8.10.78:5000): 00 00 04 08 00 00 00 00 00 00 3f 00 00 '..........?..'
I0308 11:23:00.424796409   20911 rdma_cm.cc:420]             Send a message 82
D0308 11:23:00.424835410   20911 lockfree_event.cc:103]      LockfreeEvent::NotifyOn: 0x1c7aef0 curr=0 closure=0x1ea5870
I0308 11:23:00.424872601   20911 combiner.cc:276]            C:0x1ea71b0 finish old_state=3
I0308 11:23:00.424912412   20911 ev_epollex_linux.cc:660]    PS:0x1c5f8c0 (pollable:0x1c69f50) maybe_finish_shutdown sc=(nil) (target:!NULL) rw=(nil) (target:NULL) cpsc=1 (target:0)
I0308 11:23:00.424947773   20911 ev_posix.cc:325]            (polling-api) pollset_work(0x1c5f8c0, 9223372036854775807) end
I0308 11:23:00.424981304   20911 ev_posix.cc:321]            (polling-api) pollset_work(0x1c5f8c0, 9223372036854775807) begin
I0308 11:23:00.425015885   20911 ev_epollex_linux.cc:1117]   PS:0x1c5f8c0 work hdl=0x7fffb1616c88 worker=0x7fffb1616ae0 now=1620 deadline=9223372036854775807 kwp=0 pollable=0x1c69f50
I0308 11:23:00.425057306   20911 ev_epollex_linux.cc:935]    POLLABLE:0x1c69f50[type=pollset epfd=7 wakeup=8] poll for -1ms
I0308 11:23:00.425100207   20911 ev_epollex_linux.cc:954]    POLLABLE:0x1c69f50 got 2 events
I0308 11:23:00.425135598   20911 ev_epollex_linux.cc:902]    PS:0x1c5f8c0 got fd 0x1c7aeb0: cancel=0 read=1 write=0
D0308 11:23:00.425173870   20911 lockfree_event.cc:236]      LockfreeEvent::SetReady: 0x1c7aef0 curr=1ea5870
I0308 11:23:00.425207060   20911 ev_epollex_linux.cc:902]    PS:0x1c5f8c0 got fd 0x1ea5580: cancel=0 read=1 write=0
D0308 11:23:00.425239351   20911 lockfree_event.cc:236]      LockfreeEvent::SetReady: 0x1ea55c0 curr=1ea5828
D0308 11:23:00.425272552   20911 exec_ctx.cc:34]             running closure 0x1ea5870: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/rdma_cm.cc:674]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/lockfree_event.cc:265]
I0308 11:23:00.425308433   20911 rdma_cm.cc:443]             HANDLE_WRITE_CALLED
I0308 11:23:00.425358875   20911 rdma_cm.cc:479]             A Message sent
I0308 11:23:00.425409646   20911 rdma_cm.cc:365]             CALLED WRITE_CB
D0308 11:23:00.425447827   20911 exec_ctx.cc:54]             closure 0x1ea5870 finished
D0308 11:23:00.425483429   20911 exec_ctx.cc:34]             running closure 0x1ea5828: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/rdma_cm.cc:671]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/lockfree_event.cc:265]
I0308 11:23:00.425521590   20911 rdma_cm.cc:204]             Continue Read,Get a slice
I0308 11:23:00.425556121   20911 rdma_cm.cc:206]             A Message of 62 Bytes Received
I0308 11:23:00.425587832   20911 rdma_cm.cc:219]             A Message 46
I0308 11:23:00.425627593   20911 rdma_cm.cc:225]             MR_ADDR=0x1c6b2b0
I0308 11:23:00.425700715   20911 rdma_cm.cc:204]             Continue Read,Get a slice
I0308 11:23:00.425748536   20911 rdma_cm.cc:206]             A Message of 24 Bytes Received
I0308 11:23:00.425784057   20911 rdma_cm.cc:210]             A sms
I0308 11:23:00.425824359   20911 rdma_cm.cc:318]             Send a short message
I0308 11:23:00.425857720   20911 rdma_cm.cc:181]             Called_READCB
D0308 11:23:00.425890980   20911 exec_ctx.cc:54]             closure 0x1ea5828 finished
D0308 11:23:00.425924781   20911 exec_ctx.cc:34]             running closure 0x1ea7a18: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/transport/chttp2/transport/chttp2_transport.cc:986]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/rdma_cm.cc:368]
I0308 11:23:00.425958502   20911 combiner.cc:132]            C:0x1ea71b0 grpc_combiner_execute c=0x1ea7a18 last=1
D0308 11:23:00.425993083   20911 exec_ctx.cc:54]             closure 0x1ea7a18 finished
D0308 11:23:00.426027975   20911 exec_ctx.cc:34]             running closure 0x1ea7a60: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/transport/chttp2/transport/chttp2_transport.cc:2548]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/rdma_cm.cc:197]
I0308 11:23:00.426061375   20911 combiner.cc:132]            C:0x1ea71b0 grpc_combiner_execute c=0x1ea7a60 last=3
D0308 11:23:00.426094386   20911 exec_ctx.cc:54]             closure 0x1ea7a60 finished
I0308 11:23:00.426129177   20911 combiner.cc:198]            C:0x1ea71b0 grpc_combiner_continue_exec_ctx contended=0 exec_ctx_ready_to_finish=0 time_to_execute_final_list=0
I0308 11:23:00.426163058   20911 combiner.cc:220]            C:0x1ea71b0 maybe_finish_one n=0x1ea7a18
I0308 11:23:00.426197049   20911 chttp2_transport.cc:795]    W:0x1ea7870 CLIENT [ipv4:12.8.10.78:5000] state WRITING -> IDLE [finish writing]
I0308 11:23:00.426256471   20911 combiner.cc:276]            C:0x1ea71b0 finish old_state=5
I0308 11:23:00.426295252   20911 combiner.cc:198]            C:0x1ea71b0 grpc_combiner_continue_exec_ctx contended=0 exec_ctx_ready_to_finish=0 time_to_execute_final_list=0
I0308 11:23:00.426329353   20911 combiner.cc:220]            C:0x1ea71b0 maybe_finish_one n=0x1ea7a60
